dataset,location,year,month,day,date,data_quality,max_temp_c,max_temp_flag,min_temp_c,min_temp_flag,mean_temp_c,mean_temp_flag,heat_deg_days_c,heat_deg_days_flag,cool_deg_days_c,cool_deg_days_flag,total_rain_mm,total_rain_flag,total_snow_cm,total_snow_flag,total_precip_mm,total_precip_flag,snow_on_grnd_cm,snow_on_grnd_flag,dir_of_max_gust_10s_deg,dir_of_max_gust_flag,spd_of_max_gust_km_h,spd_of_max_gust_flag,season,lessons,promotion
ec_climate_daily,LA MACAZA QC 5599,2013,12,24,2013-12-24,NA,-12.5,NA,-27,NA,-19.8,NA,37.8,NA,0,NA,0,NA,0,NA,0,NA,50,NA,NA,NA,NA,NA,1,2,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,25,2013-12-25,NA,-12.5,NA,-32,NA,-22.3,NA,40.3,NA,0,NA,0,NA,4,NA,4,NA,54,NA,NA,NA,NA,NA,1,14,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,26,2013-12-26,NA,-6,NA,NA,M,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,54,NA,NA,NA,NA,NA,1,16,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,27,2013-12-27,NA,NA,M,-13,NA,NA,M,NA,M,NA,M,0,NA,4,NA,4,NA,54,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,28,2013-12-28,NA,0,NA,-17,NA,-8.5,NA,26.5,NA,0,NA,0,NA,1,NA,1,NA,58,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,29,2013-12-29,NA,-6,NA,NA,M,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,56,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,30,2013-12-30,NA,-15,NA,-26,NA,-20.5,NA,38.5,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,18,0
ec_climate_daily,LA MACAZA QC 5599,2013,12,31,2013-12-31,NA,-16,NA,-30,NA,-23,NA,41,NA,0,NA,0,NA,1,NA,1,NA,56,NA,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,1,2014-01-01,NA,NA,M,-33,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,2,2014-01-02,NA,-22,NA,-37,NA,-29.5,NA,47.5,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,3,2014-01-03,NA,-18,NA,-31,NA,-24.5,NA,42.5,NA,0,NA,0,NA,1,NA,1,NA,56,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,4,2014-01-04,NA,-7,NA,-34,NA,-20.5,NA,38.5,NA,0,NA,0,NA,NA,M,NA,M,56,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,5,2014-01-05,NA,3,NA,NA,M,NA,M,NA,M,NA,M,18,NA,1,NA,19,NA,58,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,6,2014-01-06,NA,5,NA,-12,NA,-3.5,NA,21.5,NA,0,NA,3.2,NA,0,T,3.2,NA,52,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,7,2014-01-07,NA,-15,NA,-22,NA,-18.5,NA,36.5,NA,0,NA,0,NA,1.6,NA,1.6,NA,50,NA,NA,NA,NA,NA,1,3,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,8,2014-01-08,NA,-10,NA,-21,NA,-15.5,NA,33.5,NA,0,NA,0,NA,NA,M,NA,M,50,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,9,2014-01-09,NA,-8,NA,-19,NA,-13.5,NA,31.5,NA,0,NA,0,NA,0,NA,0,NA,50,NA,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,10,2014-01-10,NA,0,NA,-22,NA,-11,NA,29,NA,0,NA,0,NA,0,NA,0,NA,46,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,11,2014-01-11,NA,6,NA,-6,NA,0,NA,18,NA,0,NA,NA,M,0,T,NA,M,46,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,12,2014-01-12,NA,2,NA,0,NA,1,NA,17,NA,0,NA,0,T,0,T,0,T,42,NA,NA,NA,NA,NA,1,16,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,13,2014-01-13,NA,5,NA,NA,M,NA,M,NA,M,NA,M,9,NA,0,NA,9,NA,40,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,14,2014-01-14,NA,NA,M,NA,M,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,40,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,15,2014-01-15,NA,0,NA,-7,NA,-3.5,NA,21.5,NA,0,NA,0,NA,0,T,0,T,38,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,16,2014-01-16,NA,0,NA,-9,NA,-4.5,NA,22.5,NA,0,NA,0,NA,0,NA,0,NA,36,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,17,2014-01-17,NA,-2,NA,-10,NA,-6,NA,24,NA,0,NA,0,NA,4,NA,4,NA,36,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,18,2014-01-18,NA,1,NA,-10,NA,-4.5,NA,22.5,NA,0,NA,0,NA,0,NA,0,NA,40,NA,NA,NA,NA,NA,1,19,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,19,2014-01-19,NA,-5,NA,-6,NA,-5.5,NA,23.5,NA,0,NA,0,NA,6,NA,6,NA,40,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,20,2014-01-20,NA,-16,NA,-23,NA,-19.5,NA,37.5,NA,0,NA,0,NA,0,NA,0,NA,44,NA,NA,NA,NA,NA,1,5,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,21,2014-01-21,NA,NA,M,-35,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,44,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,22,2014-01-22,NA,NA,M,-35,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,44,NA,NA,NA,NA,NA,1,5,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,23,2014-01-23,NA,NA,M,-33,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,44,NA,NA,NA,NA,NA,1,4,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,24,2014-01-24,NA,-10,NA,-35,NA,-22.5,NA,40.5,NA,0,NA,0,NA,4,NA,4,NA,44,NA,NA,NA,NA,NA,1,19,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,25,2014-01-25,NA,-8,NA,-18,NA,-13,NA,31,NA,0,NA,0,NA,9,NA,9,NA,46,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,26,2014-01-26,NA,-13,NA,-30,NA,-21.5,NA,39.5,NA,0,NA,0,NA,4,NA,4,NA,54,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,27,2014-01-27,NA,-9,NA,-21,NA,-15,NA,33,NA,0,NA,0,NA,3,NA,3,NA,54,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,28,2014-01-28,NA,-11,NA,-35,NA,-23,NA,41,NA,0,NA,0,NA,0,NA,0,NA,54,NA,NA,NA,NA,NA,1,1,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,29,2014-01-29,NA,-12,NA,-21,NA,-16.5,NA,34.5,NA,0,NA,0,NA,0,T,0,T,54,NA,NA,NA,NA,NA,1,4,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,30,2014-01-30,NA,-5,NA,-23,NA,-14,NA,32,NA,0,NA,0,NA,2,NA,2,NA,54,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,1,31,2014-01-31,NA,-1,NA,-9,NA,-5,NA,23,NA,0,NA,0,NA,1,NA,1,NA,52,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,1,2014-02-01,NA,-4,NA,-25,NA,-14.5,NA,32.5,NA,0,NA,0,NA,8,NA,8,NA,52,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,2,2014-02-02,NA,-1,NA,-6,NA,-3.5,NA,21.5,NA,0,NA,0,NA,0,T,0,T,60,NA,NA,NA,NA,NA,1,19,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,3,2014-02-03,NA,-4,NA,-27,NA,-15.5,NA,33.5,NA,0,NA,0,NA,0,NA,0,NA,60,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,4,2014-02-04,NA,-5,NA,-22,NA,-13.5,NA,31.5,NA,0,NA,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,5,2014-02-05,NA,-10,NA,-14,NA,-12,NA,30,NA,0,NA,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,6,2014-02-06,NA,-9,NA,-32,NA,-20.5,NA,38.5,NA,0,NA,0,NA,1,NA,1,NA,58,NA,NA,NA,NA,NA,1,5,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,7,2014-02-07,NA,-8,NA,-16,NA,-12,NA,30,NA,0,NA,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,18,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,8,2014-02-08,NA,-7,NA,-18,NA,-12.5,NA,30.5,NA,0,NA,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,9,2014-02-09,NA,-7,NA,-21,NA,-14,NA,32,NA,0,NA,0,NA,1,NA,1,NA,56,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,10,2014-02-10,NA,-7,NA,-24,NA,-15.5,NA,33.5,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,13,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,11,2014-02-11,NA,-13,NA,-31,NA,-22,NA,40,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,3,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,12,2014-02-12,NA,NA,M,NA,M,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,13,2014-02-13,NA,-2,NA,-19,NA,-10.5,NA,28.5,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,10,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,14,2014-02-14,NA,-6,NA,-8,NA,-7,NA,25,NA,0,NA,0,NA,6,NA,6,NA,56,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,15,2014-02-15,NA,-5,NA,-15,NA,-10,NA,28,NA,0,NA,0,NA,0,NA,0,NA,62,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,16,2014-02-16,NA,NA,M,-23,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,62,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,17,2014-02-17,NA,-6,NA,-29,NA,-17.5,NA,35.5,NA,0,NA,0,NA,0,T,0,T,62,NA,NA,NA,NA,NA,1,10,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,18,2014-02-18,NA,-4,NA,-28,NA,-16,NA,34,NA,0,NA,0,NA,3,NA,3,NA,62,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,19,2014-02-19,NA,2,NA,-7,NA,-2.5,NA,20.5,NA,0,NA,0,NA,0,NA,0,NA,62,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,20,2014-02-20,NA,5,NA,NA,M,NA,M,NA,M,NA,M,0,T,0,NA,0,T,62,NA,NA,NA,NA,NA,1,4,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,21,2014-02-21,NA,2,NA,-9,NA,-3.5,NA,21.5,NA,0,NA,14,NA,0,C,NA,M,56,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,22,2014-02-22,NA,4,NA,-2,NA,1,NA,17,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,23,2014-02-23,NA,-1,NA,-5,NA,-3,NA,21,NA,0,NA,0,NA,2,NA,2,NA,56,NA,NA,NA,NA,NA,1,10,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,24,2014-02-24,NA,-8,NA,-12,NA,-10,NA,28,NA,0,NA,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,17,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,25,2014-02-25,NA,-10,NA,-24,NA,-17,NA,35,NA,0,NA,0,NA,1,NA,1,NA,58,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,26,2014-02-26,NA,-10,NA,-20,NA,-15,NA,33,NA,0,NA,0,NA,1,NA,1,NA,58,NA,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,27,2014-02-27,NA,-8,NA,-24,NA,-16,NA,34,NA,0,NA,0,NA,2,NA,2,NA,58,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,2,28,2014-02-28,NA,NA,M,NA,M,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,60,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,1,2014-03-01,NA,-6.5,NA,NA,M,NA,M,NA,M,NA,M,0,NA,6.5,NA,6.5,NA,60,NA,NA,NA,NA,NA,1,14,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,2,2014-03-02,NA,-9,NA,-21,NA,-15,NA,33,NA,0,NA,0,NA,0,NA,0,NA,66,NA,NA,NA,NA,NA,1,17,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,3,2014-03-03,NA,-12,NA,-33,NA,-22.5,NA,40.5,NA,0,NA,0,NA,0,NA,0,NA,66,NA,NA,NA,NA,NA,1,5,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,4,2014-03-04,NA,-9,NA,-31,NA,-20,NA,38,NA,0,NA,0,NA,1,NA,1,NA,66,NA,NA,NA,NA,NA,1,4,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,5,2014-03-05,NA,-7,NA,NA,M,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,64,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,6,2014-03-06,NA,-4,NA,-33,NA,-18.5,NA,36.5,NA,0,NA,0,NA,0,NA,0,NA,64,NA,NA,NA,NA,NA,1,6,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,7,2014-03-07,NA,1,NA,-26,NA,-12.5,NA,30.5,NA,0,NA,0,NA,1,NA,1,NA,62,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,8,2014-03-08,NA,NA,M,-6,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,62,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,9,2014-03-09,NA,-2,NA,-24,NA,-13,NA,31,NA,0,NA,0,NA,2,NA,2,NA,NA,M,NA,NA,NA,NA,1,17,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,10,2014-03-10,NA,0,NA,-10,NA,-5,NA,23,NA,0,NA,0,NA,5,NA,5,NA,62,NA,NA,NA,NA,NA,1,14,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,11,2014-03-11,NA,2,NA,-3,NA,-0.5,NA,18.5,NA,0,NA,0,NA,0,NA,0,NA,66,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,12,2014-03-12,NA,-9,NA,-12,NA,-10.5,NA,28.5,NA,0,NA,0,NA,1,NA,1,NA,66,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,13,2014-03-13,NA,-7,NA,-20,NA,-13.5,NA,31.5,NA,0,NA,0,NA,0,NA,0,NA,66,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,14,2014-03-14,NA,2,NA,NA,M,NA,M,NA,M,NA,M,2.8,NA,2,NA,4.8,NA,66,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,15,2014-03-15,NA,-1,NA,-6,NA,-3.5,NA,21.5,NA,0,NA,0,NA,0,NA,0,NA,64,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,16,2014-03-16,NA,-10,NA,-20,NA,-15,NA,33,NA,0,NA,0,NA,0,NA,0,NA,60,NA,NA,NA,NA,NA,1,18,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,17,2014-03-17,NA,NA,M,-32,NA,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,60,NA,NA,NA,NA,NA,1,11,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,18,2014-03-18,NA,1,NA,-28,NA,-13.5,NA,31.5,NA,0,NA,0,NA,0,NA,0,NA,60,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,19,2014-03-19,NA,2,NA,NA,M,NA,M,NA,M,NA,M,0,NA,7,NA,7,NA,60,NA,NA,NA,NA,NA,1,16,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,20,2014-03-20,NA,3,NA,-2,NA,0.5,NA,17.5,NA,0,NA,3.6,NA,4,NA,7.6,NA,70,NA,NA,NA,NA,NA,1,13,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,21,2014-03-21,NA,2.5,NA,-5,NA,-1.3,NA,19.3,NA,0,NA,0,NA,3,NA,3,NA,70,NA,NA,NA,NA,NA,1,12,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,22,2014-03-22,NA,NA,M,-14,NA,NA,M,NA,M,NA,M,0,T,NA,M,NA,M,68,NA,NA,NA,NA,NA,1,14,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,23,2014-03-23,NA,NA,M,NA,M,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,NA,M,NA,NA,NA,NA,1,17,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,24,2014-03-24,NA,NA,M,-31,NA,NA,M,NA,M,NA,M,0,NA,0,E,0,E,72,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,25,2014-03-25,NA,-2,NA,NA,M,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,NA,M,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,26,2014-03-26,NA,-5,NA,NA,M,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,72,NA,NA,NA,NA,NA,1,9,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,27,2014-03-27,NA,-1,NA,-26,NA,-13.5,NA,31.5,NA,0,NA,0,NA,5.8,NA,5.8,NA,70,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,28,2014-03-28,NA,3,NA,-7,NA,-2,NA,20,NA,0,NA,9,NA,0,C,NA,M,72,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,29,2014-03-29,NA,NA,M,-6,NA,NA,M,NA,M,NA,M,0,NA,1,NA,1,NA,72,NA,NA,NA,NA,NA,1,15,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,30,2014-03-30,NA,4,NA,-4,NA,0,NA,18,NA,0,NA,0,NA,0,NA,0,NA,70,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,3,31,2014-03-31,NA,10,NA,-7,NA,1.5,NA,16.5,NA,0,NA,0,NA,0,NA,0,NA,70,NA,NA,NA,NA,NA,1,13,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,1,2014-04-01,NA,10,NA,-8,NA,1,NA,17,NA,0,NA,0,NA,0,NA,0,NA,62,NA,NA,NA,NA,NA,1,7,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,2,2014-04-02,NA,6,NA,NA,M,NA,M,NA,M,NA,M,0,NA,0,NA,0,NA,58,NA,NA,NA,NA,NA,1,8,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,3,2014-04-03,NA,3,NA,-5,NA,-1,NA,19,NA,0,NA,0,NA,0,NA,0,NA,56,NA,NA,NA,NA,NA,1,17,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,4,2014-04-04,NA,6,E,-10,NA,-2,E,20,E,0,E,6,NA,0,T,6,NA,54,NA,NA,NA,NA,NA,1,18,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,5,2014-04-05,NA,3,NA,-1,NA,1,NA,17,NA,0,NA,1,NA,0,T,1,NA,48,NA,NA,NA,NA,NA,1,20,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,6,2014-04-06,NA,10,NA,-4,NA,3,NA,15,NA,0,NA,0,NA,0,NA,0,NA,46,NA,NA,NA,NA,NA,1,19,0
ec_climate_daily,LA MACAZA QC 5599,2014,4,7,2014-04-07,NA,13.5,NA,-4,NA,4.8,NA,13.2,NA,0,NA,0,C,NA,M,0,C,42,NA,NA,NA,NA,NA,1,10,0
